Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG_2,npxG_2,npxG+xAG_2,Matches
65,Jonathan Calleri,ar ARG,FW,São Paulo,30-237,1993,5,5,397,4.4,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,2,4,20,0.23,0.00,0.23,0.23,0.23,0.25,0.01,0.25,0.25,0.25,Matches
66,Patric Calmon PK,br BRA,DF,Vitória,29-317,1994,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
67,Camutanga,br BRA,DF,Vitória,30-233,1993,2,2,179,2.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
68,Yerson Candelo,co COL,DF,Criciúma,32-083,1992,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-105,2001,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,5,6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-105,1988,5,5,410,4.6,2,0,2,2,0,0,1,0,2.5,2.5,0.2,2.7,1,6,9,0.44,0.00,0.44,0.44,0.44,0.54,0.05,0.59,0.54,0.59,Matches
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-229,1998,5,4,297,3.3,2,1,3,2,0,0,2,1,0.5,0.5,0.8,1.3,11,16,26,0.61,0.30,0.91,0.61,0.91,0.15,0.26,0.41,0.15,0.41,Matches
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-316,1997,5,5,338,3.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,14,5,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-095,1997,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
74,Antonio Carlos,br BRA,DF,Fluminense,31-071,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-092,1992,3,3,204,2.3,2,1,3,2,0,0,1,0,0.3,0.3,0.9,1.2,6,13,8,0.88,0.44,1.32,0.88,1.32,0.12,0.40,0.53,0.12,0.53,Matches
76,Cássio,br BRA,GK,Corinthians,36-346,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-254,1995,3,0,74,0.8,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,5,8,8,1.22,0.00,1.22,1.22,1.22,1.43,0.03,1.46,1.43,1.46,Matches
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-051,1997,5,5,436,4.8,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,4,16,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-135,1997,2,1,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-150,2000,2,1,107,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-112,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
