Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
444,Rayan Vitor,br BRA,"FW,MF",Vasco da Gama,17-288,2006,1.9,0,8,1,12.5,4.19,0.52,0.00,0.00,19.7,0,0,0,0.7,0.6,0.08,-0.7,-0.6,Matches
445,Felipe Vizeu,br BRA,FW,Criciúma,27-066,1997,0.3,0,1,1,100.0,3.00,3.00,0.00,0.00,19.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
446,Wagner,br BRA,DF,Vitória,24-299,1999,3.1,1,4,2,50.0,1.30,0.65,0.25,0.50,9.0,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches
447,Walter,br BRA,GK,Cuiabá,36-181,1987,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
448,Wanderson,br BRA,"FW,MF",Internacional,29-223,1994,2.0,0,3,0,0.0,1.49,0.00,0.00,,16.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
449,Welington,br BRA,DF,São Paulo,23-088,2001,2.6,0,2,0,0.0,0.77,0.00,0.00,,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
450,José Welison,br BRA,MF,Fortaleza,29-067,1995,1.7,0,1,0,0.0,0.60,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
451,Wesley,br BRA,DF,Flamengo,20-254,2003,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
452,Wesley,br BRA,"FW,MF",Internacional,25-048,1999,3.4,2,12,4,33.3,3.58,1.19,0.17,0.50,18.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
453,Wéverton,br BRA,GK,Palmeiras,36-156,1987,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
454,William,br BRA,DF,Cruzeiro,29-044,1995,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
455,Willian,br BRA,MF,Vitória,31-001,1993,4.0,1,3,1,33.3,0.75,0.25,0.33,1.00,20.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
456,Samuel Xavier,br BRA,DF,Fluminense,33-346,1990,2.5,0,3,2,66.7,1.20,0.80,0.00,0.00,27.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
457,Bruno Zapelli,ar ARG,"MF,FW",Ath Paranaense,22-000,2002,2.6,0,3,1,33.3,1.13,0.38,0.00,0.00,18.2,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
458,Federico Zaracho,ar ARG,MF,Atlético Mineiro,26-068,1998,3.1,1,4,1,25.0,1.31,0.33,0.25,1.00,19.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
459,Zeca,br BRA,DF,Vitória,30-001,1994,4.3,0,2,2,100.0,0.46,0.46,0.00,0.00,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
