Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_2,Matches
1,Abner,br BRA,MF,Juventude,20-028,2004,1,8,8,2.2,0.1,0,,0,1,8,2,0.00,1,0,+1,+11.25,+12.02,0.2,0.0,+0.2,+2.01,+2.62,Matches
2,Luiz Adriano,br BRA,FW,Vitória,37-035,1987,4,76,19,16.9,0.8,0,,0,4,19,0,0.25,1,1,0,0.00,+1.44,1.3,1.9,-0.6,-0.75,+0.03,Matches
3,Adriel,br BRA,GK,Bahia,23-124,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,23-224,2000,5,104,21,19.3,1.2,0,,0,5,21,1,1.20,2,3,-1,-0.87,-0.04,2.2,2.5,-0.3,-0.22,-0.10,Matches
5,Lucas Alario,ar ARG,"FW,MF",Internacional,31-222,1992,2,42,21,11.7,0.5,0,,0,2,21,1,2.00,1,0,+1,+2.14,+2.14,0.9,0.2,+0.7,+1.55,+0.85,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,23-060,2001,4,213,53,39.4,2.4,2,73,1,2,34,0,0.25,0,2,-2,-0.85,-0.85,2.7,1.5,+1.2,+0.52,+0.37,Matches
7,Alerrandro,br BRA,FW,Vitória,24-126,2000,4,276,69,61.3,3.1,4,69,0,0,,1,0.25,3,7,-4,-1.30,-0.27,3.2,4.7,-1.6,-0.51,+0.67,Matches
8,Caio Alexandre,br BRA,MF,Bahia,25-083,1999,6,442,74,81.9,4.9,6,74,0,0,,0,2.17,7,4,+3,+0.61,+0.61,7.1,4.0,+3.2,+0.64,+0.23,Matches
9,Matheus Alexandre,br BRA,DF,Cuiabá,25-040,1999,3,270,90,75.0,3.0,3,90,3,0,,1,0.00,0,6,-6,-2.00,+2.00,2.0,4.6,-2.6,-0.86,+0.78,Matches
10,Alexsander,br BRA,MF,Fluminense,20-222,2003,3,145,48,26.9,1.6,1,90,1,2,28,2,0.33,2,4,-2,-1.24,-0.79,1.4,2.6,-1.2,-0.77,-0.55,Matches
11,Alisson,br BRA,GK,Criciúma,28-344,1995,2,180,90,66.7,2.0,2,90,2,0,,1,1.00,2,2,0,0.00,-4.00,1.0,1.6,-0.6,-0.28,+0.18,Matches
12,Alisson,br BRA,"DF,MF",Atlético Mineiro,18-239,2005,4,122,31,27.1,1.4,1,90,1,3,11,1,2.00,3,1,+2,+1.48,+0.38,2.8,0.8,+2.0,+1.47,+1.43,Matches
13,Alisson,br BRA,MF,São Paulo,30-327,1993,6,516,86,95.6,5.7,6,86,4,0,,0,1.67,9,5,+4,+0.70,+0.70,8.1,3.4,+4.7,+0.83,+0.45,Matches
14,Allan,br BRA,MF,Flamengo,27-075,1997,5,346,69,64.1,3.8,4,75,1,1,45,1,1.60,4,4,0,0.00,-0.93,4.4,3.7,+0.7,+0.19,+0.02,Matches
15,Felipe Alves Raymundo,br BRA,GK,Fluminense,35-362,1988,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
16,Anderson,br BRA,GK,Cruzeiro,26-073,1998,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,8,7,+1,+0.20,,5.0,5.5,-0.5,-0.10,,Matches
17,Kervin Andrade,ve VEN,MF,Fortaleza,19-034,2005,1,70,70,15.6,0.8,1,70,0,0,,4,1.00,1,1,0,0.00,-0.24,0.9,0.4,+0.5,+0.68,+0.78,Matches
18,Rodrigo Andrade,br BRA,"MF,FW",Vitória,26-348,1997,3,233,78,51.8,2.6,3,78,1,0,,0,0.33,3,5,-2,-0.77,+0.89,4.5,4.3,+0.2,+0.06,+1.72,Matches
19,André,br BRA,"MF,DF",Fluminense,22-306,2001,3,270,90,50.0,3.0,3,90,3,0,,0,1.33,5,5,0,0.00,+1.33,3.4,4.1,-0.7,-0.23,+0.27,Matches
20,Marcos André,br BRA,DF,Ath Paranaense,17-329,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
21,Wilker Ángel,ve VEN,DF,Criciúma,31-060,1993,2,69,35,25.6,0.8,1,66,0,1,3,0,2.00,3,0,+3,+3.91,+3.47,0.6,1.6,-1.1,-1.39,-1.41,Matches
22,Anthoni,br BRA,GK,Internacional,22-115,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,Léo Aragão,br BRA,GK,Cruzeiro,22-028,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
24,Guilherme Arana,br BRA,DF,Atlético Mineiro,27-033,1997,5,372,74,82.7,4.1,3,90,3,2,51,0,1.80,7,3,+4,+0.97,-1.34,4.4,3.7,+0.8,+0.18,-1.42,Matches
