Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
119,Erick,br BRA,MF,Ath Paranaense,26-185,1997,5.9,9,7,3,5,1,3,7,42.9,4,13,2,11,12,21,10,0,Matches
120,Erick,br BRA,"DF,MF",São Paulo,26-159,1997,1.4,3,3,1,1,1,0,0,,0,2,0,2,1,4,2,0,Matches
121,Erick,br BRA,FW,Juventude,27-135,1997,3.1,4,3,1,3,0,0,1,0.0,1,3,0,3,0,4,2,0,Matches
122,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22-216,2001,5.7,14,9,8,6,0,6,11,54.5,5,6,3,3,4,18,15,0,Matches
123,Estevão,br BRA,"FW,DF",Palmeiras,18-023,2006,2.8,4,2,2,1,1,3,7,42.9,4,3,0,3,2,6,1,0,Matches
124,Lucas Esteves,br BRA,DF,Vitória,23-328,2000,3.4,8,6,7,1,0,3,3,100.0,0,6,3,3,2,10,12,0,Matches
125,Oscar Estupiñan,co COL,FW,Bahia,27-140,1996,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
126,Lucas Evangelista,br BRA,MF,Red Bull Bragantino,29-011,1995,0.8,1,1,1,0,0,0,3,0.0,3,3,1,2,2,3,0,0,Matches
127,Éverson,br BRA,GK,Atlético Mineiro,33-300,1990,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
128,Everton,br BRA,FW,Grêmio,27-061,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
129,Bruno Fabiano Alves,br BRA,DF,Cuiabá,33-031,1991,2.2,2,2,1,1,0,2,4,50.0,2,3,2,1,3,5,7,0,Matches
130,Fabinho,br BRA,MF,Palmeiras,22-038,2002,0.4,1,1,0,1,0,0,0,,0,3,2,1,0,1,0,0,Matches
131,Fábio,br BRA,GK,Fluminense,43-230,1980,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches
132,Fábio,br BRA,DF,Grêmio,33-313,1990,2.3,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,7,0,Matches
133,Fagner,br BRA,"DF,MF",Corinthians,34-341,1989,4.3,7,3,2,3,2,4,9,44.4,5,2,1,1,3,10,6,0,Matches
134,Rodrigo Fagundes,br BRA,DF,Criciúma,37-068,1987,3.0,4,3,3,1,0,4,4,100.0,0,5,3,2,4,8,23,0,Matches
135,Luiz Felipe,br BRA,"DF,MF",Atl Goianiense,30-251,1993,2.1,0,0,0,0,0,0,0,,0,2,1,1,4,4,5,0,Matches
136,Marcos Felipe,br BRA,GK,Bahia,28-034,1996,6.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
137,Lucas Fernandes,br BRA,MF,Cuiabá,26-240,1997,1.5,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,Matches
138,Matheus Fernandes,br BRA,MF,Red Bull Bragantino,25-322,1998,0.4,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0,Matches
139,Nathan Fernandes,br BRA,"FW,MF",Grêmio,19-091,2005,1.3,2,2,0,2,0,0,2,0.0,2,0,0,0,2,4,2,0,Matches
140,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-049,1988,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
141,Fernandinho,br BRA,MF,Ath Paranaense,39-013,1985,5.7,5,5,5,0,0,4,4,100.0,0,2,0,2,4,9,6,0,Matches
142,Fernando,br BRA,DF,Ath Paranaense,24-246,1999,0.2,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
143,Fernando,br BRA,"MF,DF",Internacional,36-297,1987,1.1,3,3,2,1,0,2,2,100.0,0,2,0,2,1,4,1,0,Matches
144,Luiz Fernando,br BRA,"FW,MF",Atl Goianiense,27-214,1996,4.9,5,4,2,2,1,1,5,20.0,4,7,4,3,4,9,7,0,Matches
145,Nahuel Ferraresi,ve VEN,DF,São Paulo,25-180,1998,1.8,3,3,2,0,1,2,6,33.3,4,4,1,3,3,6,3,0,Matches
146,Ferreira,br BRA,"MF,FW",São Paulo,26-138,1997,1.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
147,Filipinho,br BRA,"MF,FW",Ath Paranaense,22-212,2001,0.6,4,2,0,1,3,2,3,66.7,1,2,0,2,0,4,1,0,Matches
148,Alan Franco,ec ECU,MF,Atlético Mineiro,25-270,1998,4.0,10,6,4,5,1,4,5,80.0,1,2,0,2,5,15,2,0,Matches
149,Alan Franco,ar ARG,DF,São Paulo,27-219,1996,3.5,9,6,5,4,0,3,6,50.0,3,2,1,1,1,10,9,1,Matches
150,Lucas Freitas,br BRA,DF,Juventude,23-118,2001,0.4,1,1,0,1,0,0,0,,0,1,1,0,1,2,2,0,Matches
151,Marlon Freitas,br BRA,MF,Botafogo (RJ),29-051,1995,3.5,7,6,3,4,0,5,7,71.4,2,10,5,5,5,12,6,0,Matches
152,Bruno Fuchs,br BRA,DF,Atlético Mineiro,25-046,1999,0.9,2,2,2,0,0,0,0,,0,1,0,1,0,2,1,0,Matches
153,Gabriel,br BRA,DF,Bahia,23-011,2001,5.0,9,7,4,5,0,4,5,80.0,1,5,4,1,8,17,34,0,Matches
154,Gabriel,br BRA,GK,Juventude,31-233,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
155,Marquinhos Gabriel,br BRA,MF,Criciúma,33-301,1990,2.6,2,1,2,0,0,0,0,,0,3,0,3,2,4,1,0,Matches
