Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
96;Cuiabano;br BRA;DF;Botafogo (RJ);21-092;2003;1.5;0;2;1;50.0;1.33;0.67;0.00;0.00;11.3;0;0;0;0.1;0.1;0.08;-0.1;-0.1;Matches;2024-05-18
97;Lucas Cunha;br BRA;DF;Red Bull Bragantino;27-116;1997;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
98;Danielzinho;br BRA;MF;Atl Goianiense;28-128;1996;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
99;David;br BRA;FW;Vasco da Gama;28-214;1995;5.7;1;15;2;13.3;2.63;0.35;0.07;0.50;18.1;0;0;0;0.9;0.9;0.06;+0.1;+0.1;Matches;2024-05-18
100;Giorgian De Arrascaeta;uy URU;MF;Flamengo;29-352;1994;2.8;0;4;1;25.0;1.45;0.36;0.00;0.00;22.2;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
101;Nicolás De La Cruz;uy URU;MF;Flamengo;26-352;1997;5.0;2;12;4;33.3;2.41;0.80;0.17;0.50;23.9;3;0;0;1.4;1.4;0.12;+0.6;+0.6;Matches;2024-05-18
102;Denilson;br BRA;MF;Cuiabá;23-056;2001;2.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
103;Derek;br BRA;FW;Atl Goianiense;26-168;1997;1.5;1;6;2;33.3;4.09;1.36;0.17;0.50;14.2;0;0;0;1.0;1.0;0.16;0.0;0.0;Matches;2024-05-18
104;Deyverson;br BRA;FW;Cuiabá;33-010;1991;0.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
105;Matheus Dias;br BRA;DF;Internacional;27-101;1997;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
106;Diego;br BRA;DF;São Paulo;24-302;1999;5.0;0;1;0;0.0;0.20;0.00;0.00;;10.0;0;0;0;0.0;0.0;0.04;0.0;0.0;Matches;2024-05-18
107;Dodi;br BRA;MF;Grêmio;28-031;1996;2.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
108;Dudu;br BRA;MF;Vitória;24-348;1999;2.3;0;1;0;0.0;0.43;0.00;0.00;;21.1;0;0;0;0.1;0.1;0.09;-0.1;-0.1;Matches;2024-05-18
109;Edenílson;br BRA;FW;Grêmio;34-152;1989;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
110;Éder;it ITA;FW;Criciúma;37-185;1986;1.0;0;2;1;50.0;2.05;1.02;0.00;0.00;19.3;0;0;0;0.2;0.2;0.10;-0.2;-0.2;Matches;2024-05-18
111;Carlos Eduardo;br BRA;FW;Atlético Mineiro;19-360;2004;0.1;0;1;1;100.0;7.50;7.50;0.00;0.00;4.4;0;0;0;0.3;0.3;0.25;-0.3;-0.3;Matches;2024-05-18
112;Carlos Eduardo;br BRA;FW;Botafogo (RJ);34-214;1989;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
