Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_2;Ast_2;G+A_2;G-PK_2;G+A-PK;xG_2;xAG_2;xG+xAG_2;npxG_2;npxG+xAG_2;Matches;Curr_Date
208;Zé Ivaldo;br BRA;DF,MF;Cruzeiro;27-087;1997;4;3;315;3.5;0;0;0;0;0;0;2;0;0.3;0.3;0.2;0.5;5;11;0;0.00;0.00;0.00;0.00;0.00;0.08;0.05;0.13;0.08;0.13;Matches;2024-05-18
209;Jadsom;br BRA;MF;Red Bull Bragantino;22-364;2001;6;4;371;4.1;0;0;0;0;0;0;2;0;0.1;0.1;0.2;0.3;0;18;2;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.06;0.02;0.06;Matches;2024-05-18
210;Jadson;br BRA;MF;Juventude;30-262;1993;3;3;269;3.0;0;2;2;0;0;0;2;1;0.2;0.2;0.7;0.9;2;17;13;0.00;0.67;0.67;0.00;0.67;0.06;0.23;0.29;0.06;0.29;Matches;2024-05-18
211;Janderson;br BRA;FW,DF;Vitória;25-012;1999;3;2;175;1.9;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;8;3;15;0.00;0.00;0.00;0.00;0.00;0.03;0.08;0.11;0.03;0.11;Matches;2024-05-18
212;Léo Jardim;br BRA;GK;Vasco da Gama;29-059;1995;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
213;Jeffinho;br BRA;FW,MF;Botafogo (RJ);24-140;1999;6;5;324;3.6;1;1;2;1;0;0;2;0;1.7;1.7;0.4;2.2;6;9;22;0.28;0.28;0.56;0.28;0.56;0.49;0.12;0.61;0.49;0.61;Matches;2024-05-18
214;Jemerson;br BRA;DF;Atlético Mineiro;31-268;1992;3;3;203;2.3;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
215;Caíque de Jesus Gonçalves;br BRA;MF;Juventude;28-221;1995;4;4;342;3.8;0;0;0;0;0;0;3;0;0.0;0.0;0.1;0.2;2;12;4;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04;Matches;2024-05-18
216;John;br BRA;GK;Botafogo (RJ);28-095;1996;3;3;270;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
217;Felipe Jonatan;br BRA;DF;Fortaleza;26-093;1998;2;2;148;1.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;9;4;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches;2024-05-18
218;Daniel Jr;br BRA;MF,FW;Vitória;22-009;2002;2;0;31;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;4;0.00;0.00;0.00;0.00;0.00;0.03;0.24;0.27;0.03;0.27;Matches;2024-05-18
219;Luciano Juba;br BRA;DF;Bahia;24-263;1999;6;6;540;6.0;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;4;28;10;0.00;0.00;0.00;0.00;0.00;0.01;0.06;0.07;0.01;0.07;Matches;2024-05-18
220;Julimar;br BRA;FW,MF;Ath Paranaense;23-114;2001;6;3;307;3.4;0;1;1;0;0;0;1;0;1.1;1.1;0.4;1.5;11;9;28;0.00;0.29;0.29;0.00;0.29;0.34;0.11;0.44;0.34;0.44;Matches;2024-05-18
221;Lucas Kal;br BRA;MF,DF;Atl Goianiense;28-063;1996;2;1;119;1.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
222;Walter Kannemann;ar ARG;DF;Grêmio;33-065;1991;2;2;103;1.1;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;1;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
223;Kanu;br BRA;DF;Bahia;27-072;1997;4;4;360;4.0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
224;Alan Kardec;br BRA;FW;Atlético Mineiro;35-127;1989;1;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
225;Renato Kayser;br BRA;FW;Criciúma;28-091;1996;1;1;85;0.9;1;0;1;1;0;0;0;0;0.5;0.5;0.1;0.5;0;4;3;1.06;0.00;1.06;1.06;1.06;0.48;0.07;0.56;0.48;0.56;Matches;2024-05-18
226;Renato Kayser;br BRA;FW;Fortaleza;28-091;1996;4;3;228;2.5;0;0;0;0;0;0;1;0;0.9;0.9;0.1;1.1;4;4;7;0.00;0.00;0.00;0.00;0.00;0.37;0.05;0.42;0.37;0.42;Matches;2024-05-18
227;John Kennedy;br BRA;FW;Fluminense;22-000;2002;4;0;119;1.3;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;1;3;10;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.13;0.13;0.13;Matches;2024-05-18
228;Keno;br BRA;FW;Fluminense;34-251;1989;1;1;78;0.9;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.4;4;3;6;0.00;0.00;0.00;0.00;0.00;0.37;0.04;0.41;0.37;0.41;Matches;2024-05-18
229;Kleiton;br BRA;FW;Juventude;25-025;1999;1;0;29;0.3;0;0;0;0;0;0;0;0;0.5;0.5;0.0;0.5;2;1;0;0.00;0.00;0.00;0.00;0.00;1.57;0.00;1.57;1.57;1.57;Matches;2024-05-18
230;Gabriel Knesowitsch;br BRA;DF;Cuiabá;20-213;2003;2;1;160;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
231;Benjamín Kuscevic;cl CHI;DF;Fortaleza;28-016;1996;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
232;Derik Lacerda;br BRA;MF,FW;Cuiabá;24-234;1999;4;3;245;2.7;0;0;0;0;0;0;2;0;0.5;0.5;0.0;0.5;0;3;11;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.17;0.17;0.17;Matches;2024-05-18
233;Ignacio Laquintana;uy URU;FW,MF;Red Bull Bragantino;25-107;1999;4;2;165;1.8;1;0;1;1;0;0;0;0;0.5;0.5;0.0;0.6;4;5;15;0.55;0.00;0.55;0.55;0.55;0.29;0.03;0.32;0.29;0.32;Matches;2024-05-18
234;Lázaro;br BRA;FW,MF;Palmeiras;22-067;2002;6;2;232;2.6;1;0;1;1;0;0;0;0;1.0;1.0;0.3;1.2;10;20;28;0.39;0.00;0.39;0.39;0.39;0.37;0.11;0.48;0.37;0.48;Matches;2024-05-18
235;Mauricio Lemos;uy URU;DF;Atlético Mineiro;28-142;1995;4;3;247;2.7;0;0;0;0;0;0;2;0;0.1;0.1;0.1;0.2;1;9;2;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06;Matches;2024-05-18
236;Willean Lepo;br BRA;DF;Vitória;27-123;1997;3;2;74;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;3;5;2;0.00;0.00;0.00;0.00;0.00;0.01;0.17;0.18;0.01;0.18;Matches;2024-05-18
237;Lima;br BRA;MF;Fluminense;27-342;1996;6;5;410;4.6;2;0;2;2;0;0;3;0;0.4;0.4;0.1;0.4;6;11;8;0.44;0.00;0.44;0.44;0.44;0.08;0.02;0.10;0.08;0.10;Matches;2024-05-18
238;Lincoln;br BRA;MF;Red Bull Bragantino;25-193;1998;3;0;83;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;9;3;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12;Matches;2024-05-18
239;José López;ar ARG;FW,DF;Palmeiras;23-164;2000;5;3;243;2.7;0;0;0;0;0;0;3;0;0.3;0.3;0.2;0.6;3;6;14;0.00;0.00;0.00;0.00;0.00;0.13;0.08;0.21;0.13;0.21;Matches;2024-05-18
240;Lorran;br BRA;MF,FW;Flamengo;17-319;2006;4;1;125;1.4;1;1;2;1;0;0;0;0;0.9;0.9;0.4;1.3;6;6;14;0.72;0.72;1.44;0.72;1.44;0.63;0.27;0.90;0.63;0.90;Matches;2024-05-18
241;Vágner Love;br BRA;MF;Atl Goianiense;39-342;1984;2;0;35;0.4;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;0;1;2;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.36;Matches;2024-05-18
242;Lucão;br BRA;GK;Red Bull Bragantino;23-082;2001;2;1;135;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
243;Ayrton Lucas;br BRA;DF;Flamengo;26-334;1997;6;6;517;5.7;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;15;18;9;0.00;0.00;0.00;0.00;0.00;0.01;0.05;0.06;0.01;0.06;Matches;2024-05-18
244;Jean Lucas;br BRA;MF;Bahia;25-331;1998;6;6;540;6.0;0;2;2;0;0;0;1;0;0.5;0.5;0.6;1.1;9;26;40;0.00;0.33;0.33;0.00;0.33;0.09;0.10;0.19;0.09;0.19;Matches;2024-05-18
245;João Lucas;br BRA;DF;Juventude;26-070;1998;4;4;360;4.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.2;17;21;16;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04;Matches;2024-05-18
246;Luciano;br BRA;MF,FW;São Paulo;31-000;1993;6;6;511;5.7;3;0;3;2;1;1;3;0;2.4;1.6;0.8;2.4;2;11;39;0.53;0.00;0.53;0.35;0.35;0.42;0.15;0.56;0.28;0.43;Matches;2024-05-18
247;André Luis;br BRA;MF,FW;Cuiabá;27-027;1997;4;0;87;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
248;Machado;br BRA;MF;Cruzeiro;28-119;1996;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches;2024-05-18
249;Imanol Machuca;ar ARG;MF,FW;Fortaleza;24-124;2000;5;1;140;1.6;1;0;1;1;0;0;0;0;0.2;0.2;0.4;0.6;12;5;15;0.64;0.00;0.64;0.64;0.64;0.15;0.26;0.41;0.15;0.41;Matches;2024-05-18
250;Guilherme Madruga;br BRA;MF;Cuiabá;23-189;2000;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
251;Mádson;br BRA;DF;Ath Paranaense;32-126;1992;5;1;139;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;1;4;7;0.00;0.00;0.00;0.00;0.00;0.02;0.13;0.15;0.02;0.15;Matches;2024-05-18
252;Maguinho;br BRA;DF,FW;Atl Goianiense;31-133;1993;3;2;180;2.0;0;1;1;0;0;0;0;1;0.0;0.0;0.1;0.1;1;2;3;0.00;0.50;0.50;0.00;0.50;0.01;0.06;0.07;0.01;0.07;Matches;2024-05-18
253;Pablo Maia;br BRA;MF;São Paulo;22-129;2002;3;3;259;2.9;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0.3;0;18;3;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.11;0.05;0.11;Matches;2024-05-18
254;Thiago Maia;br BRA;MF;Internacional;27-056;1997;4;3;244;2.7;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0.4;2;14;2;0.00;0.00;0.00;0.00;0.00;0.09;0.06;0.14;0.09;0.14;Matches;2024-05-18
255;Walisson Maia;br BRA;DF;Criciúma;32-271;1991;3;2;201;2.2;0;1;1;0;0;0;0;0;0.1;0.1;0.6;0.8;0;1;1;0.00;0.45;0.45;0.00;0.45;0.05;0.29;0.34;0.05;0.34;Matches;2024-05-18
256;Maicon;br BRA;DF;Vasco da Gama;35-247;1988;5;3;360;4.0;1;0;1;1;0;0;1;0;0.4;0.4;0.0;0.5;0;15;0;0.25;0.00;0.25;0.25;0.25;0.11;0.01;0.12;0.11;0.12;Matches;2024-05-18
257;Hugo Mallo;es ESP;DF;Internacional;32-331;1991;1;1;76;0.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;2;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
258;Léo Mana;br BRA;DF;Corinthians;20-042;2004;1;0;9;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
259;Luis Mandaca;br BRA;MF,FW;Juventude;22-229;2001;3;1;97;1.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;2;2;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.10;0.10;Matches;2024-05-18
260;Manoel;br BRA;DF;Fluminense;34-082;1990;5;5;381;4.2;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;0;8;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches;2024-05-18
261;Fernando Marçal;br BRA;DF;Botafogo (RJ);35-089;1989;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
262;Marcelinho;br BRA;MF,FW;Juventude;21-159;2002;4;1;157;1.7;0;1;1;0;0;0;0;0;0.2;0.2;0.0;0.3;0;4;10;0.00;0.57;0.57;0.00;0.57;0.14;0.02;0.16;0.14;0.16;Matches;2024-05-18
263;Marcelo;br BRA;DF;Fluminense;36-006;1988;5;4;360;4.0;0;1;1;0;0;0;0;0;0.2;0.2;0.4;0.6;5;14;12;0.00;0.25;0.25;0.00;0.25;0.06;0.10;0.15;0.06;0.15;Matches;2024-05-18
264;João Marcelo;br BRA;DF;Cruzeiro;23-340;2000;5;4;361;4.0;0;1;1;0;0;0;1;0;0.0;0.0;0.1;0.1;6;18;1;0.00;0.25;0.25;0.00;0.25;0.01;0.01;0.02;0.01;0.02;Matches;2024-05-18
265;Agustín Marchesín;ar ARG;GK;Grêmio;36-063;1988;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
266;Zé Marcos;br BRA;DF;Juventude;26-107;1998;3;3;258;2.9;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;1;6;0;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches;2024-05-18
267;Erick Marcus;br BRA;MF,FW;Vasco da Gama;20-078;2004;2;0;63;0.7;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;1;3;6;0.00;0.00;0.00;0.00;0.00;0.08;0.13;0.21;0.08;0.21;Matches;2024-05-18
268;Marinho;br BRA;FW,DF;Fortaleza;33-355;1990;5;3;243;2.7;0;0;0;0;0;0;1;0;0.3;0.3;0.5;0.7;10;9;15;0.00;0.00;0.00;0.00;0.00;0.11;0.17;0.28;0.11;0.28;Matches;2024-05-18
269;Marlon;br BRA;DF;Cruzeiro;26-364;1997;5;5;450;5.0;0;0;0;0;0;0;0;0;0.1;0.1;0.4;0.4;13;27;21;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches;2024-05-18
270;Marquinhos;br BRA;DF,FW;Fluminense;21-041;2003;6;6;537;6.0;0;1;1;0;0;0;2;0;0.3;0.3;1.6;1.9;24;11;42;0.00;0.17;0.17;0.00;0.17;0.05;0.27;0.32;0.05;0.32;Matches;2024-05-18
271;Juan Martín Lucero;ar ARG;FW;Fortaleza;32-170;1991;4;2;214;2.4;1;1;2;1;0;0;2;0;0.2;0.2;0.0;0.3;1;0;8;0.42;0.42;0.84;0.42;0.84;0.09;0.02;0.11;0.09;0.11;Matches;2024-05-18
272;Martinelli;br BRA;MF,DF;Fluminense;23-008;2001;6;6;495;5.5;1;0;1;1;0;0;1;0;0.5;0.5;0.2;0.7;3;19;6;0.18;0.00;0.18;0.18;0.18;0.09;0.04;0.13;0.09;0.13;Matches;2024-05-18
273;Adriano Martins;br BRA;DF;Atl Goianiense;27-047;1997;3;3;255;2.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches;2024-05-18
274;Gustavo Martins Santos;br BRA;DF;Grêmio;21-281;2002;3;2;257;2.9;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;0;11;1;0.35;0.00;0.35;0.35;0.35;0.24;0.00;0.24;0.24;0.24;Matches;2024-05-18
275;Gonzalo Mastriani;uy URU;FW;Ath Paranaense;31-020;1993;5;1;147;1.6;1;0;1;1;0;0;0;0;0.3;0.3;0.0;0.3;0;3;11;0.61;0.00;0.61;0.61;0.61;0.18;0.00;0.18;0.18;0.18;Matches;2024-05-18
276;Fellipe Mateus;br BRA;MF;Criciúma;33-096;1991;3;3;262;2.9;2;0;2;2;0;0;1;0;0.2;0.2;0.1;0.4;2;8;11;0.69;0.00;0.69;0.69;0.69;0.09;0.04;0.12;0.09;0.12;Matches;2024-05-18
277;Matheusinho;br BRA;FW,MF;Vitória;26-213;1997;5;5;394;4.4;1;2;3;1;0;0;1;0;0.6;0.6;1.4;2.0;8;11;21;0.23;0.46;0.69;0.23;0.69;0.13;0.32;0.46;0.13;0.46;Matches;2024-05-18
278;Matheusinho;br BRA;FW,MF;Criciúma;26-097;1998;2;0;25;0.3;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;0;1;1;3.60;0.00;3.60;3.60;3.60;0.45;0.00;0.45;0.45;0.45;Matches;2024-05-18
279;Matheuzinho;br BRA;DF,FW;Corinthians;23-253;2000;4;1;198;2.2;0;0;0;0;0;0;1;0;0.5;0.5;0.3;0.8;1;6;19;0.00;0.00;0.00;0.00;0.00;0.23;0.13;0.36;0.23;0.36;Matches;2024-05-18
280;Mauricio;br BRA;MF;Internacional;22-362;2001;4;4;336;3.7;0;0;0;0;0;0;1;0;0.3;0.3;0.7;1.0;7;5;33;0.00;0.00;0.00;0.00;0.00;0.07;0.20;0.27;0.07;0.27;Matches;2024-05-18
281;Max;br BRA;MF,FW;Atl Goianiense;21-325;2002;4;0;43;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.18;0.18;0.00;0.18;Matches;2024-05-18
282;Max;br BRA;MF;Cuiabá;23-006;2001;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
283;Maycon;br BRA;MF;Corinthians;26-308;1997;2;0;47;0.5;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;3;4;2;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches;2024-05-18
284;Mayke;br BRA;DF;Palmeiras;31-190;1992;5;4;340;3.8;0;0;0;0;0;0;3;0;0.0;0.0;0.1;0.1;4;12;20;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches;2024-05-18
285;Gary Medel;cl CHI;DF;Vasco da Gama;36-289;1987;2;2;108;1.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
286;Felipe Melo;br BRA;DF;Fluminense;40-327;1983;4;4;206;2.3;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches;2024-05-18
287;Douglas Mendes;br BRA;DF;Red Bull Bragantino;19-340;2004;3;3;270;3.0;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;2;6;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches;2024-05-18
288;Nathan Mendes;br BRA;DF;Red Bull Bragantino;21-273;2002;3;3;270;3.0;0;1;1;0;0;0;1;0;0.2;0.2;0.1;0.3;3;13;4;0.00;0.33;0.33;0.00;0.33;0.06;0.02;0.09;0.06;0.09;Matches;2024-05-18
289;Gabriel Menino;br BRA;MF;Palmeiras;23-232;2000;5;3;281;3.1;0;0;0;0;0;0;2;0;0.2;0.2;0.2;0.3;4;17;9;0.00;0.00;0.00;0.00;0.00;0.05;0.06;0.11;0.05;0.11;Matches;2024-05-18
290;Gabriel Mercado;ar ARG;DF;Internacional;37-061;1987;3;2;225;2.5;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;0;8;0;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.05;0.04;0.05;Matches;2024-05-18
291;Higor Meritão;br BRA;MF;Criciúma;29-330;1994;3;3;255;2.8;1;0;1;1;0;0;1;0;0.7;0.7;0.0;0.7;2;9;2;0.35;0.00;0.35;0.35;0.35;0.24;0.00;0.24;0.24;0.24;Matches;2024-05-18
292;Carlos Miguel;br BRA;GK;Corinthians;25-222;1998;3;3;270;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches;2024-05-18
293;Lucas Mineiro;br BRA;MF;Cuiabá;28-084;1996;2;1;102;1.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
294;Moises;br BRA;FW;Fortaleza;27-259;1996;5;0;137;1.5;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.6;8;3;8;0.00;0.00;0.00;0.00;0.00;0.28;0.14;0.42;0.28;0.42;Matches;2024-05-18
295;Jacob Montes;ni NCA;FW,MF;Botafogo (RJ);25-211;1998;1;0;19;0.2;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;0;0;1;4.74;0.00;4.74;4.74;4.74;0.59;0.00;0.59;0.59;0.59;Matches;2024-05-18
296;Aníbal Moreno;ar ARG;MF;Palmeiras;25-005;1999;4;4;351;3.9;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;2;19;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.02;0.01;0.02;Matches;2024-05-18
297;Henry Mosquera;co COL;FW,MF;Red Bull Bragantino;22-185;2001;6;4;389;4.3;0;0;0;0;0;0;2;0;0.2;0.2;0.2;0.4;18;10;27;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.09;0.05;0.09;Matches;2024-05-18
298;Gustavo Mosquito;br BRA;FW;Corinthians;26-254;1997;4;1;159;1.8;0;1;1;0;0;0;1;0;0.2;0.2;0.1;0.3;6;5;14;0.00;0.57;0.57;0.00;0.57;0.11;0.04;0.15;0.11;0.15;Matches;2024-05-18
299;Jean Mota;br BRA;MF;Vitória;30-216;1993;3;0;78;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;0;5;6;0.00;0.00;0.00;0.00;0.00;0.05;0.22;0.27;0.05;0.27;Matches;2024-05-18
300;Hugo Moura;br BRA;MF;Vasco da Gama;26-136;1998;3;2;130;1.4;0;1;1;0;0;0;1;1;0.0;0.0;0.3;0.3;2;7;3;0.00;0.69;0.69;0.00;0.69;0.00;0.22;0.22;0.00;0.22;Matches;2024-05-18
301;Léo Naldi;br BRA;MF;Vitória;22-274;2001;2;1;74;0.8;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;0;5;4;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.14;0.14;0.14;Matches;2024-05-18
302;Matheus Nascimento;br BRA;FW;Botafogo (RJ);20-076;2004;1;1;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
303;Nata;br BRA;MF,DF;Grêmio;22-348;2001;2;0;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
304;Kaiky Naves;br BRA;FW;Palmeiras;22-010;2002;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
305;Nenê;br BRA;MF,FW;Juventude;42-304;1981;4;4;267;3.0;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;4;13;19;0.00;0.00;0.00;0.00;0.00;0.03;0.07;0.10;0.03;0.10;Matches;2024-05-18
306;Neris;br BRA;DF;Cruzeiro;31-336;1992;4;3;231;2.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;4;1;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches;2024-05-18
307;Rodrigo Nestor;br BRA;MF,FW;São Paulo;23-283;2000;4;2;161;1.8;0;1;1;0;0;0;2;0;0.2;0.2;0.3;0.5;6;11;11;0.00;0.56;0.56;0.00;0.56;0.12;0.15;0.27;0.12;0.27;Matches;2024-05-18
308;José Vitor Silva Neves;br BRA;FW,MF;Ath Paranaense;24-016;2000;3;0;86;1.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;5;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
309;Newton;br BRA;MF;Criciúma;24-067;2000;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
310;Nikão;br BRA;FW,MF;Ath Paranaense;31-294;1992;3;1;120;1.3;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;2;5;5;0.75;0.00;0.75;0.75;0.75;0.54;0.00;0.54;0.54;0.54;Matches;2024-05-18
311;Gustavo Nunes;br BRA;FW;Grêmio;18-180;2005;4;1;203;2.3;0;0;0;0;0;0;2;0;0.1;0.1;0.1;0.2;12;6;21;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.10;0.05;0.10;Matches;2024-05-18
