Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Curr_Date
92,Alejo Cruz,uy URU,MF,Atl Goianiense,23-260,2000,1.7,67,2,8,32,28,3,67,2,0,0.0,1,50.0,40,219,118,2,3,1,7,0,41,16,Matches,2024-05-18
93,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,24-074,2000,3.8,179,2,21,74,90,15,179,18,10,55.6,7,38.9,113,736,386,11,8,3,5,3,114,26,Matches,2024-05-18
94,Víctor Cuesta,ar ARG,DF,Bahia,35-181,1988,2.7,138,18,60,70,9,1,138,0,0,,0,,70,326,122,0,1,0,3,0,84,1,Matches,2024-05-18
95,Cuiabano,br BRA,DF,Grêmio,21-092,2003,1.8,125,7,45,62,20,2,125,0,0,,0,,49,278,129,0,1,0,1,3,64,5,Matches,2024-05-18
96,Cuiabano,br BRA,DF,Botafogo (RJ),21-092,2003,1.5,95,5,20,39,38,2,95,3,2,66.7,1,33.3,55,290,165,4,2,0,1,0,53,25,Matches,2024-05-18
97,Lucas Cunha,br BRA,DF,Red Bull Bragantino,27-116,1997,0.3,13,7,8,5,0,0,13,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches,2024-05-18
98,Danielzinho,br BRA,MF,Atl Goianiense,28-128,1996,0.2,23,1,5,14,5,0,23,1,1,100.0,0,0.0,8,53,31,0,0,0,0,0,15,0,Matches,2024-05-18
99,David,br BRA,FW,Vasco da Gama,28-214,1995,5.7,217,6,26,89,107,20,217,19,12,63.2,7,36.8,140,903,454,17,12,8,17,7,157,48,Matches,2024-05-18
100,Giorgian De Arrascaeta,uy URU,MF,Flamengo,29-352,1994,2.8,132,2,13,60,59,7,132,5,3,60.0,2,40.0,72,385,146,3,2,2,5,4,106,21,Matches,2024-05-18
101,Nicolás De La Cruz,uy URU,MF,Flamengo,26-352,1997,5.0,369,8,37,214,124,13,369,10,6,60.0,2,20.0,195,1163,645,8,14,2,7,4,239,14,Matches,2024-05-18
102,Denilson,br BRA,MF,Cuiabá,23-056,2001,2.5,119,4,23,76,22,1,119,7,7,100.0,0,0.0,66,365,125,1,2,0,3,1,78,4,Matches,2024-05-18
103,Derek,br BRA,FW,Atl Goianiense,26-168,1997,1.5,55,1,5,23,29,10,55,4,1,25.0,3,75.0,28,147,43,1,3,1,10,1,32,5,Matches,2024-05-18
104,Deyverson,br BRA,FW,Cuiabá,33-010,1991,0.8,25,1,5,16,5,1,25,1,1,100.0,0,0.0,10,40,4,0,0,0,4,1,14,1,Matches,2024-05-18
105,Matheus Dias,br BRA,DF,Internacional,27-101,1997,0.1,12,0,0,5,7,0,12,0,0,,0,,7,55,36,1,1,0,1,0,7,1,Matches,2024-05-18
106,Diego,br BRA,DF,São Paulo,24-302,1999,5.0,423,31,145,257,22,5,423,2,1,50.0,0,0.0,244,1036,530,4,3,0,3,1,300,1,Matches,2024-05-18
107,Dodi,br BRA,MF,Grêmio,28-031,1996,2.0,87,3,20,64,4,0,87,7,3,42.9,4,57.1,47,344,131,2,1,0,6,4,42,1,Matches,2024-05-18
108,Dudu,br BRA,MF,Vitória,24-348,1999,2.3,159,6,40,100,24,1,159,9,5,55.6,4,44.4,84,524,262,2,3,1,4,4,96,3,Matches,2024-05-18
109,Edenílson,br BRA,FW,Grêmio,34-152,1989,0.5,23,0,5,15,3,1,23,0,0,,0,,17,73,40,1,2,0,0,0,19,2,Matches,2024-05-18
110,Éder,it ITA,FW,Criciúma,37-185,1986,1.0,37,0,4,19,14,1,37,0,0,,0,,24,122,38,1,1,0,2,2,31,8,Matches,2024-05-18
111,Carlos Eduardo,br BRA,FW,Atlético Mineiro,19-360,2004,0.1,13,0,0,4,9,3,13,2,2,100.0,0,0.0,8,69,19,0,1,0,1,0,10,2,Matches,2024-05-18
112,Carlos Eduardo,br BRA,FW,Botafogo (RJ),34-214,1989,1.0,37,1,2,29,6,0,37,2,0,0.0,2,100.0,25,97,63,2,1,0,1,1,29,1,Matches,2024-05-18
113,Kauã Elias,br BRA,"MF,FW",Fluminense,18-051,2006,1.0,41,1,5,21,15,1,41,6,2,33.3,4,66.7,18,75,24,0,3,0,4,4,25,4,Matches,2024-05-18
114,Rafael Elias,br BRA,FW,Cruzeiro,25-036,1999,1.1,36,2,5,10,21,7,36,1,0,0.0,1,100.0,26,106,20,0,2,0,3,2,27,9,Matches,2024-05-18
115,Eliédson,br BRA,MF,Criciúma,21-062,2003,0.0,3,1,1,2,1,0,3,0,0,,0,,1,15,0,0,0,0,0,0,0,0,Matches,2024-05-18
116,Rodrigo Ely,br BRA,DF,Grêmio,30-197,1993,3.0,197,31,81,115,1,1,197,1,0,0.0,1,100.0,91,422,211,0,0,0,0,0,132,0,Matches,2024-05-18
117,Alan Empereur,br BRA,DF,Cuiabá,30-069,1994,2.9,175,23,102,71,3,0,175,0,0,,0,,115,578,340,1,2,0,1,0,132,2,Matches,2024-05-18
118,Endrick,br BRA,"FW,MF",Palmeiras,17-302,2006,5.0,173,1,10,86,84,13,173,22,9,40.9,11,50.0,120,813,368,11,13,3,14,8,128,29,Matches,2024-05-18
119,Erick,br BRA,MF,Ath Paranaense,26-186,1997,5.9,342,15,64,235,49,11,342,4,4,100.0,0,0.0,193,965,462,7,4,2,6,8,229,8,Matches,2024-05-18
120,Erick,br BRA,"DF,MF",São Paulo,26-160,1997,1.4,82,1,8,29,46,3,82,11,3,27.3,8,72.7,52,343,129,4,3,0,3,4,56,16,Matches,2024-05-18
121,Erick,br BRA,FW,Juventude,27-136,1997,3.1,76,2,5,30,41,5,76,5,2,40.0,2,40.0,34,189,67,3,0,0,2,1,52,23,Matches,2024-05-18
122,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22-217,2001,5.7,369,21,113,162,95,6,369,14,7,50.0,5,35.7,213,1083,512,8,6,0,4,5,226,22,Matches,2024-05-18
123,Estevão,br BRA,"FW,DF",Palmeiras,18-024,2006,2.8,119,0,12,51,61,10,118,19,9,47.4,9,47.4,78,590,341,9,5,4,8,10,76,27,Matches,2024-05-18
124,Lucas Esteves,br BRA,DF,Vitória,23-329,2000,3.4,211,17,71,101,40,4,211,3,1,33.3,2,66.7,98,401,222,6,2,1,1,2,127,11,Matches,2024-05-18
125,Oscar Estupiñan,co COL,FW,Bahia,27-141,1996,0.6,17,1,1,10,6,1,17,1,0,0.0,1,100.0,6,34,3,0,1,0,2,1,12,2,Matches,2024-05-18
126,Lucas Evangelista,br BRA,MF,Red Bull Bragantino,29-012,1995,0.8,41,1,5,23,13,3,41,0,0,,0,,15,79,48,1,1,0,2,0,24,0,Matches,2024-05-18
127,Éverson,br BRA,GK,Atlético Mineiro,33-301,1990,5.0,170,146,168,2,0,0,170,0,0,,0,,96,397,192,0,0,0,0,0,106,0,Matches,2024-05-18
128,Everton,br BRA,FW,Grêmio,27-062,1997,0.4,16,0,2,11,4,0,16,0,0,,0,,10,59,45,2,0,0,2,0,12,3,Matches,2024-05-18
129,Bruno Fabiano Alves,br BRA,DF,Cuiabá,33-032,1991,2.2,104,12,48,52,4,3,104,0,0,,0,,48,219,127,0,1,0,1,0,76,1,Matches,2024-05-18
130,Fabinho,br BRA,MF,Palmeiras,22-039,2002,0.4,32,3,6,18,8,1,32,0,0,,0,,18,69,38,0,0,0,0,1,20,2,Matches,2024-05-18
131,Fábio,br BRA,GK,Fluminense,43-231,1980,6.0,197,177,197,0,0,0,197,0,0,,0,,93,410,165,0,0,0,1,0,80,0,Matches,2024-05-18
132,Fábio,br BRA,DF,Grêmio,33-314,1990,2.3,133,5,28,77,31,1,133,3,3,100.0,0,0.0,51,352,219,4,3,0,2,1,81,6,Matches,2024-05-18
133,Fagner,br BRA,"DF,MF",Corinthians,34-342,1989,4.3,241,8,64,123,55,0,241,3,2,66.7,1,33.3,108,482,328,5,3,0,1,0,138,9,Matches,2024-05-18
134,Rodrigo Fagundes,br BRA,DF,Criciúma,37-069,1987,3.0,187,36,116,68,3,1,187,1,1,100.0,0,0.0,97,430,234,0,1,0,0,0,106,0,Matches,2024-05-18
135,Luiz Felipe,br BRA,"DF,MF",Atl Goianiense,30-252,1993,2.1,96,12,41,52,3,2,96,0,0,,0,,49,199,108,0,0,0,1,0,55,0,Matches,2024-05-18
136,Marcos Felipe,br BRA,GK,Bahia,28-035,1996,6.0,249,187,248,1,0,0,249,0,0,,0,,151,647,429,0,0,0,0,0,129,0,Matches,2024-05-18
137,Lucas Fernandes,br BRA,MF,Cuiabá,26-241,1997,1.5,101,0,15,62,25,1,101,2,1,50.0,1,50.0,64,377,106,2,2,1,2,5,81,5,Matches,2024-05-18
138,Matheus Fernandes,br BRA,MF,Red Bull Bragantino,25-323,1998,0.4,22,0,1,20,1,0,22,0,0,,0,,12,60,29,0,0,0,0,1,12,0,Matches,2024-05-18
