Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;GCA_PassLive;GCA_PassDead;GCA_TO;GCA_Sh;GCA_Fld;GCA_Def;Matches;Curr_Date
138;Matheus Fernandes;br BRA;MF;Red Bull Bragantino;25-323;1998;0.4;1;2.65;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
139;Nathan Fernandes;br BRA;FW,MF;Grêmio;19-092;2005;1.3;2;1.58;1;0;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
140;Gatito Fernández;py PAR;GK;Botafogo (RJ);36-050;1988;3.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
141;Fernandinho;br BRA;MF;Ath Paranaense;39-014;1985;5.7;31;5.45;24;5;0;0;1;1;3;0.53;3;0;0;0;0;0;Matches;2024-05-18
142;Fernando;br BRA;DF;Ath Paranaense;24-247;1999;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
143;Fernando;br BRA;MF,DF;Internacional;36-298;1987;1.1;3;2.67;3;0;0;0;0;0;1;0.89;1;0;0;0;0;0;Matches;2024-05-18
144;Luiz Fernando;br BRA;FW,MF;Atl Goianiense;27-215;1996;4.9;11;2.24;8;0;1;0;2;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
145;Nahuel Ferraresi;ve VEN;DF;São Paulo;25-181;1998;1.8;4;2.28;2;1;1;0;0;0;1;0.57;0;0;1;0;0;0;Matches;2024-05-18
146;Ferreira;br BRA;MF,FW;São Paulo;26-139;1997;1.2;5;4.25;3;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
147;Filipinho;br BRA;MF,FW;Ath Paranaense;22-213;2001;0.6;1;1.67;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
148;Alan Franco;ec ECU;MF;Atlético Mineiro;25-271;1998;4.0;13;3.28;12;0;0;1;0;0;1;0.25;1;0;0;0;0;0;Matches;2024-05-18
149;Alan Franco;ar ARG;DF;São Paulo;27-220;1996;3.5;5;1.42;5;0;0;0;0;0;1;0.28;1;0;0;0;0;0;Matches;2024-05-18
150;Lucas Freitas;br BRA;DF;Juventude;23-119;2001;0.4;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
151;Marlon Freitas;br BRA;MF;Botafogo (RJ);29-052;1995;3.5;9;2.54;8;0;0;1;0;0;1;0.28;0;0;0;1;0;0;Matches;2024-05-18
152;Bruno Fuchs;br BRA;DF;Atlético Mineiro;25-047;1999;0.9;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
