Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Curr_Date
86,Clayton,br BRA,FW,Vasco da Gama,25-128,1999,0.6,2,2,1,0,1,1,1,100.0,0,1,1,0,0,2,1,0,Matches,18-05-2024
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-061,2002,3.2,7,6,3,3,1,1,12,8.3,11,5,0,5,4,11,1,1,Matches,18-05-2024
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-274,1992,2.0,3,2,2,0,1,0,1,0.0,1,6,1,5,3,6,2,0,Matches,18-05-2024
89,Diego Costa,es ESP,FW,Grêmio,35-224,1988,1.3,2,0,0,1,1,1,1,100.0,0,1,1,0,0,2,0,0,Matches,18-05-2024
90,Douglas Costa,br BRA,FW,Fluminense,33-247,1990,1.8,2,2,0,1,1,0,0,,0,4,0,4,2,4,1,0,Matches,18-05-2024
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-277,1996,3.1,1,1,1,0,0,1,6,16.7,5,5,0,5,0,1,2,0,Matches,18-05-2024
92,Alejo Cruz,uy URU,MF,Atl Goianiense,23-260,2000,1.7,2,0,1,1,0,1,2,50.0,1,2,0,2,0,2,3,0,Matches,18-05-2024
93,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,24-074,2000,3.8,4,3,2,2,0,2,4,50.0,2,7,1,6,7,11,1,0,Matches,18-05-2024
94,Víctor Cuesta,ar ARG,DF,Bahia,35-181,1988,2.7,7,5,1,5,1,4,6,66.7,2,1,0,1,0,7,14,0,Matches,18-05-2024
95,Cuiabano,br BRA,DF,Grêmio,21-092,2003,1.8,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0,Matches,18-05-2024
96,Cuiabano,br BRA,DF,Botafogo (RJ),21-092,2003,1.5,4,2,2,2,0,2,3,66.7,1,1,0,1,2,6,5,0,Matches,18-05-2024
97,Lucas Cunha,br BRA,DF,Red Bull Bragantino,27-116,1997,0.3,1,1,1,0,0,0,0,,0,2,2,0,0,1,5,0,Matches,18-05-2024
98,Danielzinho,br BRA,MF,Atl Goianiense,28-128,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,18-05-2024
99,David,br BRA,FW,Vasco da Gama,28-214,1995,5.7,9,7,2,6,1,0,2,0.0,2,3,0,3,3,12,3,0,Matches,18-05-2024
100,Giorgian De Arrascaeta,uy URU,MF,Flamengo,29-352,1994,2.8,1,1,0,1,0,1,6,16.7,5,1,1,0,1,2,0,0,Matches,18-05-2024
101,Nicolás De La Cruz,uy URU,MF,Flamengo,26-352,1997,5.0,14,10,2,9,3,6,10,60.0,4,6,3,3,4,18,0,0,Matches,18-05-2024
102,Denilson,br BRA,MF,Cuiabá,23-056,2001,2.5,1,1,0,0,1,1,4,25.0,3,1,0,1,2,3,2,0,Matches,18-05-2024
103,Derek,br BRA,FW,Atl Goianiense,26-168,1997,1.5,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0,Matches,18-05-2024
104,Deyverson,br BRA,FW,Cuiabá,33-010,1991,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,18-05-2024
105,Matheus Dias,br BRA,DF,Internacional,27-101,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
106,Diego,br BRA,DF,São Paulo,24-302,1999,5.0,7,3,3,4,0,2,5,40.0,3,5,2,3,11,18,19,0,Matches,18-05-2024
107,Dodi,br BRA,MF,Grêmio,28-031,1996,2.0,9,3,2,7,0,5,9,55.6,4,2,0,2,3,12,1,0,Matches,18-05-2024
108,Dudu,br BRA,MF,Vitória,24-348,1999,2.3,12,5,6,6,0,2,6,33.3,4,6,0,6,1,13,2,0,Matches,18-05-2024
109,Edenílson,br BRA,FW,Grêmio,34-152,1989,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
110,Éder,it ITA,FW,Criciúma,37-185,1986,1.0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches,18-05-2024
111,Carlos Eduardo,br BRA,FW,Atlético Mineiro,19-360,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
112,Carlos Eduardo,br BRA,FW,Botafogo (RJ),34-214,1989,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches,18-05-2024
113,Kauã Elias,br BRA,"MF,FW",Fluminense,18-051,2006,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches,18-05-2024
114,Rafael Elias,br BRA,FW,Cruzeiro,25-036,1999,1.1,0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,2,0,Matches,18-05-2024
115,Eliédson,br BRA,MF,Criciúma,21-062,2003,0.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,18-05-2024
116,Rodrigo Ely,br BRA,DF,Grêmio,30-197,1993,3.0,5,2,3,2,0,2,3,66.7,1,10,8,2,5,10,17,0,Matches,18-05-2024
117,Alan Empereur,br BRA,DF,Cuiabá,30-069,1994,2.9,2,1,2,0,0,2,3,66.7,1,2,2,0,2,4,13,0,Matches,18-05-2024
118,Endrick,br BRA,"FW,MF",Palmeiras,17-302,2006,5.0,5,2,1,4,0,3,5,60.0,2,3,0,3,0,5,2,0,Matches,18-05-2024
119,Erick,br BRA,MF,Ath Paranaense,26-186,1997,5.9,9,7,3,5,1,3,7,42.9,4,13,2,11,12,21,10,0,Matches,18-05-2024
120,Erick,br BRA,"DF,MF",São Paulo,26-160,1997,1.4,3,3,1,1,1,0,0,,0,2,0,2,1,4,2,0,Matches,18-05-2024
121,Erick,br BRA,FW,Juventude,27-136,1997,3.1,4,3,1,3,0,0,1,0.0,1,3,0,3,0,4,2,0,Matches,18-05-2024
122,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22-217,2001,5.7,14,9,8,6,0,6,11,54.5,5,6,3,3,4,18,15,0,Matches,18-05-2024
123,Estevão,br BRA,"FW,DF",Palmeiras,18-024,2006,2.8,4,2,2,1,1,3,7,42.9,4,3,0,3,2,6,1,0,Matches,18-05-2024
124,Lucas Esteves,br BRA,DF,Vitória,23-329,2000,3.4,8,6,7,1,0,3,3,100.0,0,6,3,3,2,10,12,0,Matches,18-05-2024
125,Oscar Estupiñan,co COL,FW,Bahia,27-141,1996,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches,18-05-2024
